id_comment,id_restaurant,comment_text,comment_usability, comment_date
0,0,"Быстрое обслуживание, приятный персонал, вкусная еда, но ценник немного выше среднего, но потраченных денег совсем не жалко.",1,10 августа 2021 г.
1,0,"Наш любимый ресторан! Антураж, обстановка, всё продумано до мелочей, видно владелец заведения с душой и любовью относится к своему заведению. Мне как-то довелось побывать в настоящем Дублине, в Ирландии, с уверенностью могу сказать обстановка полностью соответствует ирландский пабам! Попадание 100%! Еда,обслуживание, всё на высшем уровне! Наше восхищение поварам! Молодцы! Огромная благодарность официантке Виктории, всегда обходительна, вежлива и внимательна!Спасибо всей команде Дублина! Самое классное заведение в городе, всегда с удовольствием вас посещаем!",1,27 марта 2021 г.
2,0,"Зашли в 23.20 выпить вкусного пива(судя по отзывам), завернули. Сказав что повара ушли и нех здесь делать.... сервис по русски‍♂️",2,11 марта 2020 г.
3,0,"Часто посещаем заведение со своими друзьями из разных городов и всех удивляет качество сервиса, еды и напитков. Если куда и вести друзей, то только в Дублин. Стилистически все супер органично, богатый выбор крепкого алкоголя, широкий ассортимент пива. Есть VIP зал для уединенных посиделок. По субботам там живая музыка. Безусловно 10/10. Бармены вообще лучшие",0,28 февраля 2020 г.
4,0,"Отличное заведение! Все на высшем уровне! Самобытный интерьер ирландских пабов. Приятные, вежливые девушки официанты все расскажут и подскажут, что выбрать. Хороший выбор пива и большой выбор самого разного виски. Вкусная кухня с большими порциями. Отдельно отмечу жареные креветки, вкуснее чем здесь есть мне доводилось!",0,26 февраля 2020 г.
5,0,"Была в этом пабе много раз, уютное место с хорошей кухней и большим выбором импортных напитков, рекомендую для посещения.",0,19 февраля 2020 г.
6,0,Очень долгое обслуживание. В течение 20 минут несли меню. Сначала вообще не заметили мое присутствие. Подача бизнес ланча так же затянулась. Салат принесли спустя пол часа после заказа. Не самое лучшее место для обеда.,1,5 февраля 2020 г.
7,0,"Несколько лет ходим с друзьями в это заведение, вкусно и еда и пиво, самые любимые блюда жареные креветки и жареный сыр...Конечно цены выше среднего, но это того стоит. По выходным весело, играет музыка, поют группы. Рекомендую это место для отдыха с компанией",1,6 января 2020 г.
8,0,"Пришли с друзьями поужинать. Место бронировали заранее, цены (нереально высокие) знали. Думали раз такая цена, то должно быть вкусно. Из пяти разнообразных горячих блюд не понравилось ни одно. Закуски, салаты тоже. Мясо то резиновое, то совсем безвкусное. Просили официанта посоветовать нежирное мясное блюдо. Посоветовала. Принесла - сплошной жир. На наши возмущения - был ответ: ""Мне что, теперь это самой есть?"" Пришлось оплачивать и этот жир и заказывать другое блюдо. Спиртное тоже судя по-всему некачественное. Так как от водки, сразу же у человека высыпала аллергия. В общем компанией из 4 человек, мы посидели на 12 000. Впечатление ужасное. Больше туда ни ногой. Никому не советую.",0,9 ноября 2019 г.
9,0,"Отличный ирландский паб, все в нужном стиле. Но 2 момента немножко огорчили:- пинта креветок все же не пинта; дно стакана заполнено зеленью, и креветки тебе при подаче высыпают в тарелку (видно что бы не обращали внимание)- одно лишнее пиво все же всунули в счёт, а когда обратил внимание на этот факт, мне тут же предложили пересчитать (косвенное подтверждение моей правоты). Пиво оплатил «в качестве чаевых»",0,14 октября 2019 г.
10,0,"Данный бар нам посоветовали коллеги. Сказали, что место отличное. Кухня неплохая, пиво и эль - вкусные. Но вот отношение персонала, не здравствуйте, не до свидания, демонстрация того, что делается одолжение по поводу и без. При этом ни по меню, ни по барной карте прокомментировать или дать совет официанты не в состоянии. На один раз.",0,9 октября 2019 г.
11,0,"Отличное место отдыха для тех, кто готов выложить за ужин на двоих 5к и выше. Очень уютно, стильно, вкусно.",1,9 октября 2019 г.
12,0,"Это именно паб по содержимому, оформление соответствующие, чувствуется что в заведение вложены деньги и дизайн проработан до мелочей. Вкусное и качественное пиво, Дублин был первым заведением в Липецке куда стали возить разные западные сорта пива и подал идею другим рестораторам, за это большое спасибо! В плане стоимости пива сейчас есть более экономичные варианты попить тотже Гиннес процентов на 20-35 дешевле, но там не будет такого интерьера. Кухню пробовал почти всю, качественно приготовленно, но лично меня не зацепило не одно блюдо чтобы приходить именно за ним в Дублин. Если вы проездом в Липецке и хотите не ошибиться с выбором заведения в котором выпить разных импортных сортов пива, чтобы публика была приличная и счёт в пару тысяч на одного Вас не пугает - смело идите в Дублин!",2,27 сентября 2019 г.
13,0,"Приятное заведение со своей атмосферой, хорошей кухней и отличным обслуживанием! Неплохой выбор пива на любой вкус.",1,14 сентября 2019 г.
14,0,Не плохое место. Очень приятный интерьер и не плохое расположение. Цены конечно сильно завышены как мне кажется,1,26 августа 2019 г.
15,0,"Очень понравился паб, оформление супер, еда и напитки выше всех похвал, но цены высокие, сравнимы с московскими. Советую",1,30 июля 2019 г.
