id,url,post,date,views,comments_count,reposts_count,reaction_count
0,https://vk.com/wall-22522055_2077001,"Если у вас несколько банковских карт, любую из них вы можете вывести на первое место в приложении СберБанк Онлайн.Карты в «Кошельке» на главном экране выстроены в соответствии с тем, как часто вы ими пользуетесь. Но порядок можно настроить под себя. Это просто: нажмите строчку «Все счета и карты» → «Настройки» → вы попадёте в список, где можно всё расположить, как вам нравится.",23 мар в 14:12,205K,134,20,163
1,https://vk.com/wall-22522055_2076931,"С 1 апреля семьи с низким доходом имеют право на новое ежемесячное пособие. Это касается семей, где есть дети в возрасте от 8 до 16 лет. Рассказываем всё самое важное о том, как оформить выплату.Проверьте, все ли пособия вы получаете: http://sber.me/?p=4t24t",23 мар в 12:12,225K,123,979,538
2,https://vk.com/wall-22522055_2076898,"Ласковые, гордые, милые, пушистые и умные создания важны для нас вне зависимости от жизненных сложностей. И им нужен не только корм, — может потребоваться и помощь ветеринара.Страховая программа «Питомец под защитой» позволяет компенсировать расходы на лечение кошек и собак, даёт доступ к онлайн-консультациям ветеринара, диагностике и фельдшерским процедурам. Годовой полис может сэкономить вам серьёзные деньги, особенно когда многое быстро дорожает.Сделайте себе особенный подарок — спокойствие за здоровье домашних любимцев: sberbank.ru/sms/ipets-website",23 мар в 10:00,181K,31,64,165
3,https://vk.com/wall-22522055_2076599,"Как платить через SberPay? Есть два способа, они чуть разные для интернета и для обычных магазинов.1) SberPay доступен для покупок во многих российских интернет-магазинах и приложениях. Здесь платёж идёт через СберБанк Онлайн, вам не нужно вводить данные карты. Когда вы видите, что заказ можно оплатить через SberPay, просто нажимаете эту кнопку, а затем подтверждаете операцию в нашем приложении: • если вы покупаете со смартфона, СберБанк Онлайн откроется автоматически;• если в интернет-магазин вы зашли с компьютера, то на смартфон вам придёт пуш-уведомление для перехода в СберБанк Онлайн.При подтверждении вы увидите название магазина, сумму и остаток на карте, чтобы всё перепроверить. А если оплата не проходит, посмотрите в настройках покупок — может быть, у вас включен запрет на любые платежи в интернете или на те, что идут без СМС-подтверждения.2) Если у вас есть карта Мир и телефон на Android, то вы можете платить через SberPay ещё и в офлайн-магазинах, касаясь смартфоном терминала. Чтобы подключить сервис, зайдите в СберБанк Онлайн, откройте настройки карты и нажмите кнопку «Оплата телефоном SberPay».Все подробности о сервисе SberPay вы можете узнать на нашем сайте: http://sber.me/?p=BrPvw",22 мар в 15:00,234K,164,105,215
4,https://vk.com/wall-22522055_2076513,"Если вы не можете войти в приложение СберБанк Онлайн, скорее всего поможет один из четырёх способов:• переключитесь на мобильный интернет вместо Wi-Fi или наоборот. Помните, что для входа в финансовые приложения нельзя использовать общественный незащищённый Wi-Fi — например, в кафе и торговых центрах;• проверьте, российский ли у вас IP-адрес. Если вы используете зарубежный IP, доступ к СберБанк Онлайн может быть ограничен на стороне провайдера;• если вы сейчас за границей, найдите способ зайти в интернет через российский IP;• откройте web-версию СберБанк Онлайн через браузер. Там доступны все основные сервисы.",22 мар в 13:00,203K,100,38,164
5,https://vk.com/wall-22522055_2076391,"Крепкий и полноценный сон — это жизненная необходимость. Нарушения сна напрямую влияют на качество жизни, ведь из-за них мы быстрее устаём и чаще злимся. Как вы могли понять, в новом выпуске подкаста «КОРОЧЕ» мы будем говорить про сон. Обсудим, как проявляются нарушения сна, что такое «гаджеты для засыпания» и какие wellness-тренды сейчас актуальны.Слушаем и обсуждаем.",22 мар в 11:01,251K,48,423,382
6,https://vk.com/wall-22522055_2075593,"Что делать с цифровыми картами Visa и Mastercard? Всё просто: дозакажите пластик к вашей текущей цифровой карте. Пластиковые карты Visa и Mastercard работают по всей России — доступны и оплата в обычных магазинах, и денежные переводы, и покупки в российских интернет-магазинах по реквизитам карты либо с помощью зелёной кнопки SberPay. Дозаказ оформляется в СберБанк Онлайн. Там же можно выбрать офис, в котором вам будет удобно получить карту.  Ответы на самые распространённые вопросы вы найдёте на нашем сайте: http://sber.me/?p=6pb2C",19 мар в 13:00,132K,126,31,162
7,https://vk.com/wall-22522055_2075499,"Даже в самое сложное время мы выполняем свои обещания и работаем для вас. Это наша ответственность и желание заботиться о каждом.19 марта — Международный день клиента, это ваш день! Помните: мы всегда рядом ",19 мар в 10:00,7.3M,129,51,1 002
8,https://vk.com/wall-22522055_2075297,"Сейчас многие вкладывают деньги в драгоценные металлы — это один из способов защитить свои финансы. Как правило, стоимость всех металлов в долгосрочной перспективе растёт. Например, цена на золото с 11 января по 10 марта этого года поднялась почти на 70%.Если вы хотите инвестировать в драгметаллы, можно открыть металлический счёт в СберБанк Онлайн и не тратить время на очереди в банках. Вот в чём плюсы такого счёта:• всё делается онлайн, за несколько секунд и в любой момент легко докупить ещё металла или, наоборот, продать его банку;• не нужно думать, где хранить металлы и сертификаты на них — никаких сейфов, арендованных ячеек и укромного места в шкафу;• необязательно покупать целые слитки — можно начинать хоть с 1 грамма серебра или 0,1 грамма золота, платины и палладия. Это значит, что металлический счёт доступен практически каждому, он не требует больших денежных вложений.Выберите металл, который хотите купить, укажите желаемый вес и банковский счёт, с которого будете оплачивать. А затем подтвердите операцию: http://sber.me/?p=116wb",18 мар в 18:55,231K,126,48,163
9,https://vk.com/wall-22522055_2075175,"Переводы в страны ближнего зарубежья продолжают работать! Мы знаем, как важно сохранять для вас возможность заботиться о родных и близких людях в других странах.  В приложении СберБанк Онлайн вы можете, как и раньше, отправлять деньги по номеру телефона на карты и счета в Беларусь, Казахстан, Армению, Киргизию, Приднестровье, Таджикистан и Узбекистан. Деньги доходят мгновенно, комиссия, как обычно, составляет 1% от суммы, но не менее 30 рублей. Переводить можно до 600 000 рублей в месяц. Переводы идут с рублевой карты в рублях и автоматически конвертируются в валюту карты получателя. Вся актуальная информация о переводах за границу есть на  http://sber.me/?p=5WqS6",18 мар в 16:08,237K,138,40,157
