,link
0,https://www.tripadvisor.ru/Restaurant_Review-g298484-d8429267-Reviews-Sabor_de_la_Vida_Restaurant-Moscow_Central_Russia.html
1,https://www.tripadvisor.ru/Restaurant_Review-g298484-d15318891-Reviews-KU_Ramen_Izakaya_Bar-Moscow_Central_Russia.html
2,https://www.tripadvisor.ru/Restaurant_Review-g298484-d14406915-Reviews-Dzhumbus-Moscow_Central_Russia.html
3,https://www.tripadvisor.ru/Restaurant_Review-g298484-d16805787-Reviews-Leffe_Cafe-Moscow_Central_Russia.html
4,https://www.tripadvisor.ru/Restaurant_Review-g298484-d14052398-Reviews-AnderSon-Moscow_Central_Russia.html
5,https://www.tripadvisor.ru/Restaurant_Review-g298484-d14193225-Reviews-WE_Cidreria-Moscow_Central_Russia.html
6,https://www.tripadvisor.ru/Restaurant_Review-g298484-d8520579-Reviews-Winil_Wine_Bar-Moscow_Central_Russia.html
7,https://www.tripadvisor.ru/Restaurant_Review-g298484-d10841351-Reviews-Lyubov_Pirogova-Moscow_Central_Russia.html
8,https://www.tripadvisor.ru/Restaurant_Review-g298484-d2344810-Reviews-Boemi-Moscow_Central_Russia.html
9,https://www.tripadvisor.ru/Restaurant_Review-g298484-d6111407-Reviews-Steak_House_Butcher-Moscow_Central_Russia.html
10,https://www.tripadvisor.ru/Restaurant_Review-g298484-d11772155-Reviews-SVOY_Restaurant_Bar-Moscow_Central_Russia.html
11,https://www.tripadvisor.ru/Restaurant_Review-g298484-d13082952-Reviews-Russian_Pub-Moscow_Central_Russia.html
12,https://www.tripadvisor.ru/Restaurant_Review-g298484-d3498578-Reviews-Butcher_Steak_House-Moscow_Central_Russia.html
13,https://www.tripadvisor.ru/Restaurant_Review-g298484-d3771230-Reviews-Moldova-Moscow_Central_Russia.html
14,https://www.tripadvisor.ru/Restaurant_Review-g298484-d14039798-Reviews-Lure_Oysterbar-Moscow_Central_Russia.html
15,https://www.tripadvisor.ru/Restaurant_Review-g298484-d13374075-Reviews-Praktika_by_Darvin_Lenkom-Moscow_Central_Russia.html
16,https://www.tripadvisor.ru/Restaurant_Review-g298484-d13497680-Reviews-Beer_Harbor-Moscow_Central_Russia.html
17,https://www.tripadvisor.ru/Restaurant_Review-g298484-d12525541-Reviews-Zafferano_Aviapark-Moscow_Central_Russia.html
18,https://www.tripadvisor.ru/Restaurant_Review-g298484-d13546004-Reviews-Uhvat-Moscow_Central_Russia.html
19,https://www.tripadvisor.ru/Restaurant_Review-g298484-d3320362-Reviews-Butcher_Steak_House-Moscow_Central_Russia.html
20,https://www.tripadvisor.ru/Restaurant_Review-g298484-d3766511-Reviews-Yorkshir-Moscow_Central_Russia.html
21,https://www.tripadvisor.ru/Restaurant_Review-g298484-d3759646-Reviews-Metropol_Restaurant-Moscow_Central_Russia.html
22,https://www.tripadvisor.ru/Restaurant_Review-g298484-d3775151-Reviews-Italoniya-Moscow_Central_Russia.html
23,https://www.tripadvisor.ru/Restaurant_Review-g298484-d12884073-Reviews-Anderson-Moscow_Central_Russia.html
24,https://www.tripadvisor.ru/Restaurant_Review-g298484-d14079518-Reviews-Megobari-Moscow_Central_Russia.html
25,https://www.tripadvisor.ru/Restaurant_Review-g298484-d10477822-Reviews-Pirogi_Vino_Gus-Moscow_Central_Russia.html
26,https://www.tripadvisor.ru/Restaurant_Review-g298484-d7365424-Reviews-Restaurant_Subbotitsa-Moscow_Central_Russia.html
27,https://www.tripadvisor.ru/Restaurant_Review-g298484-d9555473-Reviews-Osteria_Mario-Moscow_Central_Russia.html
28,https://www.tripadvisor.ru/Restaurant_Review-g298484-d12513366-Reviews-Bryanskiy_Byk-Moscow_Central_Russia.html
29,https://www.tripadvisor.ru/Restaurant_Review-g298484-d10594215-Reviews-Peshi-Moscow_Central_Russia.html
30,https://www.tripadvisor.ru/Restaurant_Review-g298484-d10819792-Reviews-Tkemali-Moscow_Central_Russia.html
31,https://www.tripadvisor.ru/Restaurant_Review-g298484-d2344544-Reviews-Buloshnaya-Moscow_Central_Russia.html
32,https://www.tripadvisor.ru/Restaurant_Review-g298484-d16726874-Reviews-Sapiens_est-Moscow_Central_Russia.html
